Approved symbol	Approved name	Synonyms
OLFML2A	olfactomedin like 2A	FLJ00237
OLFML2B	olfactomedin like 2B	DKFZP586L151
OLFML3	olfactomedin like 3	HNOEL-iso, OLF44
OLIG1	oligodendrocyte transcription factor 1	BHLHB6, bHLHe21
OLIG2	oligodendrocyte transcription factor 2	RACK17, OLIGO2, bHLHe19
OLIG3	oligodendrocyte transcription factor 3	Bhlhb7, bHLHe20
OLR1	oxidized low density lipoprotein receptor 1	LOX-1, SCARE1, CLEC8A
OMA1	OMA1 zinc metallopeptidase	MPRP-1, YKR087C, ZMPOMA1, FLJ33782
OMD	osteomodulin	osteoadherin, SLRR2C
OMG	oligodendrocyte myelin glycoprotein	OMGP
OMP	olfactory marker protein	
ONECUT1	one cut homeobox 1	HNF-6
ONECUT2	one cut homeobox 2	OC-2
ONECUT3	one cut homeobox 3	
OOEP	oocyte expressed protein	Em:AC019205.2, KHDC2
OOSP2	oocyte secreted protein 2	FLJ36198, OOSP2A
OOSP3	oocyte secreted protein family member 3	
OOSP4A	oocyte secreted protein family member 4A	
OOSP4B	oocyte secreted protein family member 4B	
OPA1	OPA1 mitochondrial dynamin like GTPase	NTG, KIAA0567, FLJ12460, NPG, MGM1
OPA3	outer mitochondrial membrane lipid metabolism regulator OPA3	FLJ22187, MGA3
OPALIN	oligodendrocytic myelin paranodal and inner loop protein	TMP10, HTMP10
OPCML	opioid binding protein/cell adhesion molecule like	OPCM, OBCAM, IGLON1
OPHN1	oligophrenin 1	OPN1, ARHGAP41
OPLAH	5-oxoprolinase, ATP-hydrolysing	OPLA, 5-Opase
OPN1LW	opsin 1, long wave sensitive	COD5
OPN1MW	opsin 1, medium wave sensitive	OPN1MW1, COD5
OPN1MW2	opsin 1, medium wave sensitive 2	
OPN1MW3	opsin 1, medium wave sensitive 3	
OPN1SW	opsin 1, short wave sensitive	BOP, CBT
OPN3	opsin 3	ERO, NMO-1, encephalopsin, PPP1R116
OPN4	opsin 4	MOP, melanopsin
OPN5	opsin 5	neuropsin, dJ402H5.1
OPRD1	opioid receptor delta 1	
OPRK1	opioid receptor kappa 1	KOR, OPRK
OPRL1	opioid related nociceptin receptor 1	NOCIR, ORL1, OOR, KOR-3, NOPr
OPRM1	opioid receptor mu 1	MOR1
OPRPN	opiorphin prepropeptide	BPLP, PRL1
OPTC	opticin	
OPTN	optineurin	FIP2, HYPL, FIP-2, TFIIIA-INTP, NRP, HIP7
OR1A1	olfactory receptor family 1 subfamily A member 1 (gene/pseudogene)	OR17-7
OR1A2	olfactory receptor family 1 subfamily A member 2	OR17-6
OR1B1	olfactory receptor family 1 subfamily B member 1 (gene/pseudogene)	OR9-B
OR1C1	olfactory receptor family 1 subfamily C member 1	TPCR27, HSTPCR27
OR1D2	olfactory receptor family 1 subfamily D member 2	OR17-4
OR1D4	olfactory receptor family 1 subfamily D member 4 (gene/pseudogene)	OR17-30
OR1D5	olfactory receptor family 1 subfamily D member 5	OR17-31
OR1E1	olfactory receptor family 1 subfamily E member 1	OR17-2, HGM071, OR17-32, OR13-66
OR1E2	olfactory receptor family 1 subfamily E member 2	OR17-93, OR17-135
OR1E3	olfactory receptor family 1 subfamily E member 3 (gene/pseudogene)	OR17-210
OR1F1	olfactory receptor family 1 subfamily F member 1 (gene/pseudogene)	Olfmf, OR16-36, OR16-37, OR16-88, OR16-89, OR16-90, OLFMF, OR3-145
OR1G1	olfactory receptor family 1 subfamily G member 1	OR17-209
OR1I1	olfactory receptor family 1 subfamily I member 1	OR1I1P, OR19-20, OR1I1Q
OR1J1	olfactory receptor family 1 subfamily J member 1	hg32
OR1J2	olfactory receptor family 1 subfamily J member 2	OST044
OR1J4	olfactory receptor family 1 subfamily J member 4	HTPCRX01, HSHTPCRX01
OR1K1	olfactory receptor family 1 subfamily K member 1	hg99, MNAB
OR1L1	olfactory receptor family 1 subfamily L member 1	OR9-C
OR1L3	olfactory receptor family 1 subfamily L member 3	OR9-D
OR1L4	olfactory receptor family 1 subfamily L member 4	OR9-E
OR1L6	olfactory receptor family 1 subfamily L member 6	
OR1L8	olfactory receptor family 1 subfamily L member 8	
OR1M1	olfactory receptor family 1 subfamily M member 1	OR19-6
OR1N1	olfactory receptor family 1 subfamily N member 1	OR1-26
OR1N2	olfactory receptor family 1 subfamily N member 2	
OR1P1	olfactory receptor family 1 subfamily P member 1 (gene/pseudogene)	OR17-208
OR1Q1	olfactory receptor family 1 subfamily Q member 1	OST226, OR9-A, HSTPCR106, OST226OR9-A, TPCR106
OR1S1	olfactory receptor family 1 subfamily S member 1 (gene/pseudogene)	OST034
OR1S2	olfactory receptor family 1 subfamily S member 2	
OR2A1	olfactory receptor family 2 subfamily A member 1	
OR2A2	olfactory receptor family 2 subfamily A member 2	OST008
OR2A4	olfactory receptor family 2 subfamily A member 4	
OR2A5	olfactory receptor family 2 subfamily A member 5	OR7-138, OR7-141
OR2A7	olfactory receptor family 2 subfamily A member 7	HSDJ0798C17
OR2A12	olfactory receptor family 2 subfamily A member 12	
OR2A14	olfactory receptor family 2 subfamily A member 14	OST182
OR2A25	olfactory receptor family 2 subfamily A member 25	
OR2A42	olfactory receptor family 2 subfamily A member 42	
OR2AE1	olfactory receptor family 2 subfamily AE member 1	
OR2AG1	olfactory receptor family 2 subfamily AG member 1 (gene/pseudogene)	
OR2AG2	olfactory receptor family 2 subfamily AG member 2	
OR2AJ1	olfactory receptor family 2 subfamily AJ member 1	OR2AJ1Q
OR2AK2	olfactory receptor family 2 subfamily AK member 2	
OR2AP1	olfactory receptor family 2 subfamily AP member 1	
OR2AT4	olfactory receptor family 2 subfamily AT member 4	
OR2B2	olfactory receptor family 2 subfamily B member 2	hs6M1-10, OR6-1, OR2B2Q
OR2B3	olfactory receptor family 2 subfamily B member 3	OR6-4
OR2B6	olfactory receptor family 2 subfamily B member 6	OR6-31, dJ408B20.2, OR5-40, OR5-41
OR2B11	olfactory receptor family 2 subfamily B member 11	
OR2C1	olfactory receptor family 2 subfamily C member 1	OLFmf3
OR2C3	olfactory receptor family 2 subfamily C member 3	OST742
OR2D2	olfactory receptor family 2 subfamily D member 2	OR11-610, hg27
OR2D3	olfactory receptor family 2 subfamily D member 3	
OR2F1	olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)	OLF3, OR7-140, OR7-139, OR14-60
OR2F2	olfactory receptor family 2 subfamily F member 2	OR7-1
OR2G2	olfactory receptor family 2 subfamily G member 2	
OR2G3	olfactory receptor family 2 subfamily G member 3	
OR2G6	olfactory receptor family 2 subfamily G member 6	
OR2H1	olfactory receptor family 2 subfamily H member 1	OR6-2
OR2H2	olfactory receptor family 2 subfamily H member 2	hs6M1-12
OR2J1	olfactory receptor family 2 subfamily J member 1 (gene/pseudogene)	OR6-5, hs6M1-4, dJ80I19.2
OR2J2	olfactory receptor family 2 subfamily J member 2	OR6-8, hs6M1-6, dJ80I19.4
OR2J3	olfactory receptor family 2 subfamily J member 3	OR6-6
OR2K2	olfactory receptor family 2 subfamily K member 2	HTPCRH06, HSHTPCRH06
OR2L2	olfactory receptor family 2 subfamily L member 2	HTPCRH07, HSHTPCRH07
OR2L3	olfactory receptor family 2 subfamily L member 3	
OR2L5	olfactory receptor family 2 subfamily L member 5	
OR2L8	olfactory receptor family 2 subfamily L member 8 (gene/pseudogene)	
OR2L13	olfactory receptor family 2 subfamily L member 13	
OR2M2	olfactory receptor family 2 subfamily M member 2	OST423, OR2M2Q
OR2M3	olfactory receptor family 2 subfamily M member 3	OST003
OR2M4	olfactory receptor family 2 subfamily M member 4	HTPCRX18, TPCR100, HSHTPCRX18, OST710
OR2M5	olfactory receptor family 2 subfamily M member 5	
OR2M7	olfactory receptor family 2 subfamily M member 7	
OR2S2	olfactory receptor family 2 subfamily S member 2 (gene/pseudogene)	
OR2T1	olfactory receptor family 2 subfamily T member 1	OR1-25
OR2T2	olfactory receptor family 2 subfamily T member 2	
OR2T3	olfactory receptor family 2 subfamily T member 3	
OR2T4	olfactory receptor family 2 subfamily T member 4	OR2T4Q
OR2T5	olfactory receptor family 2 subfamily T member 5	
OR2T6	olfactory receptor family 2 subfamily T member 6	OST703
OR2T7	olfactory receptor family 2 subfamily T member 7	OST723
OR2T8	olfactory receptor family 2 subfamily T member 8	
OR2T10	olfactory receptor family 2 subfamily T member 10	
OR2T11	olfactory receptor family 2 subfamily T member 11 (gene/pseudogene)	OR2T11Q
OR2T12	olfactory receptor family 2 subfamily T member 12	
OR2T27	olfactory receptor family 2 subfamily T member 27	
OR2T29	olfactory receptor family 2 subfamily T member 29	
OR2T33	olfactory receptor family 2 subfamily T member 33	
OR2T34	olfactory receptor family 2 subfamily T member 34	
OR2T35	olfactory receptor family 2 subfamily T member 35	
OR2V1	olfactory receptor family 2 subfamily V member 1	OST265
OR2V2	olfactory receptor family 2 subfamily V member 2	OST713
OR2W1	olfactory receptor family 2 subfamily W member 1	hs6M1-15
OR2W3	olfactory receptor family 2 subfamily W member 3	OST718
OR2W5	olfactory receptor family 2 subfamily W member 5 (gene/pseudogene)	OST722
OR2Y1	olfactory receptor family 2 subfamily Y member 1	
OR2Z1	olfactory receptor family 2 subfamily Z member 1	
OR3A1	olfactory receptor family 3 subfamily A member 1 (gene/pseudogene)	OLFRA03, OR40, OR17-40
OR3A2	olfactory receptor family 3 subfamily A member 2	OLFRA04, OR228, OR17-228
OR3A3	olfactory receptor family 3 subfamily A member 3	OR17-201, OR17-137, OR17-16
OR4A5	olfactory receptor family 4 subfamily A member 5	
OR4A8	olfactory receptor family 4 subfamily A member 8 (gene/pseudogene)	
OR4A15	olfactory receptor family 4 subfamily A member 15	
OR4A16	olfactory receptor family 4 subfamily A member 16	OR4A16Q
OR4A47	olfactory receptor family 4 subfamily A member 47	
OR4B1	olfactory receptor family 4 subfamily B member 1	OST208
OR4C3	olfactory receptor family 4 subfamily C member 3	
OR4C5	olfactory receptor family 4 subfamily C member 5 (gene/pseudogene)	OR4C5Q
OR4C6	olfactory receptor family 4 subfamily C member 6	
OR4C11	olfactory receptor family 4 subfamily C member 11	
OR4C12	olfactory receptor family 4 subfamily C member 12	
OR4C13	olfactory receptor family 4 subfamily C member 13	
OR4C15	olfactory receptor family 4 subfamily C member 15	
OR4C16	olfactory receptor family 4 subfamily C member 16 (gene/pseudogene)	
OR4C45	olfactory receptor family 4 subfamily C member 45 (gene/pseudogene)	
OR4C46	olfactory receptor family 4 subfamily C member 46	
OR4D1	olfactory receptor family 4 subfamily D member 1	TPCR16
OR4D2	olfactory receptor family 4 subfamily D member 2	
OR4D5	olfactory receptor family 4 subfamily D member 5	
OR4D6	olfactory receptor family 4 subfamily D member 6	
OR4D9	olfactory receptor family 4 subfamily D member 9	
OR4D10	olfactory receptor family 4 subfamily D member 10	OST711
OR4D11	olfactory receptor family 4 subfamily D member 11	
OR4E1	olfactory receptor family 4 subfamily E member 1 (gene/pseudogene)	
OR4E2	olfactory receptor family 4 subfamily E member 2 (gene/pseudogene)	
OR4F3	olfactory receptor family 4 subfamily F member 3	
OR4F4	olfactory receptor family 4 subfamily F member 4	OR4F18
OR4F5	olfactory receptor family 4 subfamily F member 5	
OR4F6	olfactory receptor family 4 subfamily F member 6	
OR4F15	olfactory receptor family 4 subfamily F member 15	
OR4F16	olfactory receptor family 4 subfamily F member 16	
OR4F17	olfactory receptor family 4 subfamily F member 17	
OR4F21	olfactory receptor family 4 subfamily F member 21	
OR4F29	olfactory receptor family 4 subfamily F member 29	
OR4K1	olfactory receptor family 4 subfamily K member 1	
OR4K2	olfactory receptor family 4 subfamily K member 2	
OR4K3	olfactory receptor family 4 subfamily K member 3 (gene/pseudogene)	
OR4K5	olfactory receptor family 4 subfamily K member 5	
OR4K13	olfactory receptor family 4 subfamily K member 13	
OR4K14	olfactory receptor family 4 subfamily K member 14	
OR4K15	olfactory receptor family 4 subfamily K member 15	OR4K15Q
OR4K17	olfactory receptor family 4 subfamily K member 17	
OR4L1	olfactory receptor family 4 subfamily L member 1 (gene/pseudogene)	
OR4M1	olfactory receptor family 4 subfamily M member 1	
OR4M2	olfactory receptor family 4 subfamily M member 2	
OR4N2	olfactory receptor family 4 subfamily N member 2	
OR4N4	olfactory receptor family 4 subfamily N member 4	
OR4N5	olfactory receptor family 4 subfamily N member 5	
OR4P4	olfactory receptor family 4 subfamily P member 4	
OR4Q2	olfactory receptor family 4 subfamily Q member 2 (gene/pseudogene)	
OR4Q3	olfactory receptor family 4 subfamily Q member 3	C14orf13
OR4S1	olfactory receptor family 4 subfamily S member 1	
OR4S2	olfactory receptor family 4 subfamily S member 2	OST725
OR4X1	olfactory receptor family 4 subfamily X member 1 (gene/pseudogene)	
OR4X2	olfactory receptor family 4 subfamily X member 2 (gene/pseudogene)	
OR5A1	olfactory receptor family 5 subfamily A member 1	OST181
OR5A2	olfactory receptor family 5 subfamily A member 2	
OR5AC1	olfactory receptor family 5 subfamily AC member 1 (gene/pseudogene)	
OR5AC2	olfactory receptor family 5 subfamily AC member 2	HSA1
OR5AK2	olfactory receptor family 5 subfamily AK member 2	
OR5AL1	olfactory receptor family 5 subfamily AL member 1 (gene/pseudogene)	
OR5AN1	olfactory receptor family 5 subfamily AN member 1	
OR5AP2	olfactory receptor family 5 subfamily AP member 2	
OR5AR1	olfactory receptor family 5 subfamily AR member 1 (gene/pseudogene)	
OR5AS1	olfactory receptor family 5 subfamily AS member 1	
OR5AU1	olfactory receptor family 5 subfamily AU member 1	
OR5B2	olfactory receptor family 5 subfamily B member 2	OST073
OR5B3	olfactory receptor family 5 subfamily B member 3	OST129
OR5B12	olfactory receptor family 5 subfamily B member 12	OST743
OR5B17	olfactory receptor family 5 subfamily B member 17	
OR5B21	olfactory receptor family 5 subfamily B member 21	
OR5C1	olfactory receptor family 5 subfamily C member 1	OR9-F, hRPK-465_F_21
OR5D13	olfactory receptor family 5 subfamily D member 13 (gene/pseudogene)	
OR5D14	olfactory receptor family 5 subfamily D member 14	
OR5D16	olfactory receptor family 5 subfamily D member 16	
OR5D18	olfactory receptor family 5 subfamily D member 18	
OR5F1	olfactory receptor family 5 subfamily F member 1	OR11-10
OR5G3	olfactory receptor family 5 subfamily G member 3 (gene/pseudogene)	
OR5H1	olfactory receptor family 5 subfamily H member 1	HTPCRX14, HSHTPCRX14
OR5H2	olfactory receptor family 5 subfamily H member 2	
OR5H6	olfactory receptor family 5 subfamily H member 6 (gene/pseudogene)	
OR5H8	olfactory receptor family 5 subfamily H member 8 (gene/pseudogene)	
OR5H14	olfactory receptor family 5 subfamily H member 14	
OR5H15	olfactory receptor family 5 subfamily H member 15	
OR5I1	olfactory receptor family 5 subfamily I member 1	HSOlf1, OLF1
OR5J2	olfactory receptor family 5 subfamily J member 2	
OR5K1	olfactory receptor family 5 subfamily K member 1	HTPCRX10, HSHTPCRX10
OR5K2	olfactory receptor family 5 subfamily K member 2	
OR5K3	olfactory receptor family 5 subfamily K member 3	
OR5K4	olfactory receptor family 5 subfamily K member 4	
OR5L1	olfactory receptor family 5 subfamily L member 1 (gene/pseudogene)	OST262
OR5L2	olfactory receptor family 5 subfamily L member 2	HTPCRX16, HSHTPCRX16
OR5M1	olfactory receptor family 5 subfamily M member 1	OST050
OR5M3	olfactory receptor family 5 subfamily M member 3	
OR5M8	olfactory receptor family 5 subfamily M member 8	
OR5M9	olfactory receptor family 5 subfamily M member 9	
OR5M10	olfactory receptor family 5 subfamily M member 10	
OR5M11	olfactory receptor family 5 subfamily M member 11	OR11-199
OR5P2	olfactory receptor family 5 subfamily P member 2	JCG3
OR5P3	olfactory receptor family 5 subfamily P member 3	JCG1
OR5R1	olfactory receptor family 5 subfamily R member 1 (gene/pseudogene)	
OR5T1	olfactory receptor family 5 subfamily T member 1	
OR5T2	olfactory receptor family 5 subfamily T member 2	
OR5T3	olfactory receptor family 5 subfamily T member 3	OR5T3Q
OR5V1	olfactory receptor family 5 subfamily V member 1	hs6M1-21
OR5W2	olfactory receptor family 5 subfamily W member 2	
OR6A2	olfactory receptor family 6 subfamily A member 2	OR11-55
OR6B1	olfactory receptor family 6 subfamily B member 1	OR7-3
OR6B2	olfactory receptor family 6 subfamily B member 2	
OR6B3	olfactory receptor family 6 subfamily B member 3	OR6B3Q
OR6C1	olfactory receptor family 6 subfamily C member 1	OST267
OR6C2	olfactory receptor family 6 subfamily C member 2	OR6C67
OR6C3	olfactory receptor family 6 subfamily C member 3	OST709
OR6C4	olfactory receptor family 6 subfamily C member 4	
OR6C6	olfactory receptor family 6 subfamily C member 6	
OR6C65	olfactory receptor family 6 subfamily C member 65	
OR6C68	olfactory receptor family 6 subfamily C member 68	
OR6C70	olfactory receptor family 6 subfamily C member 70	
OR6C74	olfactory receptor family 6 subfamily C member 74	
OR6C75	olfactory receptor family 6 subfamily C member 75	
OR6C76	olfactory receptor family 6 subfamily C member 76	
OR6F1	olfactory receptor family 6 subfamily F member 1	OST731
OR6J1	olfactory receptor family 6 subfamily J member 1 (gene/pseudogene)	
OR6K2	olfactory receptor family 6 subfamily K member 2	
OR6K3	olfactory receptor family 6 subfamily K member 3	
OR6K6	olfactory receptor family 6 subfamily K member 6	
OR6M1	olfactory receptor family 6 subfamily M member 1	
OR6N1	olfactory receptor family 6 subfamily N member 1	
OR6N2	olfactory receptor family 6 subfamily N member 2	
OR6P1	olfactory receptor family 6 subfamily P member 1	
OR6Q1	olfactory receptor family 6 subfamily Q member 1 (gene/pseudogene)	
OR6S1	olfactory receptor family 6 subfamily S member 1	OR6S1Q
OR6T1	olfactory receptor family 6 subfamily T member 1	
OR6V1	olfactory receptor family 6 subfamily V member 1	GPR138
OR6X1	olfactory receptor family 6 subfamily X member 1	
OR6Y1	olfactory receptor family 6 subfamily Y member 1	
OR7A5	olfactory receptor family 7 subfamily A member 5	HTPCR2
OR7A10	olfactory receptor family 7 subfamily A member 10	
OR7A17	olfactory receptor family 7 subfamily A member 17	HTPCRX19
OR7C1	olfactory receptor family 7 subfamily C member 1	OR19-5
OR7C2	olfactory receptor family 7 subfamily C member 2 (gene/pseudogene)	OR19-18
OR7D2	olfactory receptor family 7 subfamily D member 2	OR19-4, HTPCRH03, FLJ38149
OR7D4	olfactory receptor family 7 subfamily D member 4	hg105, OR19-B
OR7E24	olfactory receptor family 7 subfamily E member 24	OR19-8, HSHT2, OR7E24Q
OR7G1	olfactory receptor family 7 subfamily G member 1	OR19-15
OR7G2	olfactory receptor family 7 subfamily G member 2	OST260
OR7G3	olfactory receptor family 7 subfamily G member 3	OST085
OR8A1	olfactory receptor family 8 subfamily A member 1	OST025
OR8B2	olfactory receptor family 8 subfamily B member 2	
OR8B3	olfactory receptor family 8 subfamily B member 3	
OR8B4	olfactory receptor family 8 subfamily B member 4 (gene/pseudogene)	
OR8B8	olfactory receptor family 8 subfamily B member 8	TPCR85
OR8B12	olfactory receptor family 8 subfamily B member 12	
OR8D1	olfactory receptor family 8 subfamily D member 1	OST004
OR8D2	olfactory receptor family 8 subfamily D member 2 (gene/pseudogene)	
OR8D4	olfactory receptor family 8 subfamily D member 4	
OR8G1	olfactory receptor family 8 subfamily G member 1 (gene/pseudogene)	TPCR25, HSTPCR25
OR8G5	olfactory receptor family 8 subfamily G member 5	
OR8H1	olfactory receptor family 8 subfamily H member 1	
OR8H2	olfactory receptor family 8 subfamily H member 2	
OR8H3	olfactory receptor family 8 subfamily H member 3	
OR8I2	olfactory receptor family 8 subfamily I member 2	
OR8J1	olfactory receptor family 8 subfamily J member 1	
OR8J2	olfactory receptor family 8 subfamily J member 2 (gene/pseudogene)	
OR8J3	olfactory receptor family 8 subfamily J member 3	
OR8K1	olfactory receptor family 8 subfamily K member 1	
OR8K3	olfactory receptor family 8 subfamily K member 3 (gene/pseudogene)	
OR8K5	olfactory receptor family 8 subfamily K member 5	
OR8S1	olfactory receptor family 8 subfamily S member 1	
OR8U1	olfactory receptor family 8 subfamily U member 1	
OR8U8	olfactory receptor family 8 subfamily U member 8	
OR8U9	olfactory receptor family 8 subfamily U member 9	
OR9A2	olfactory receptor family 9 subfamily A member 2	
OR9A4	olfactory receptor family 9 subfamily A member 4	
OR9G1	olfactory receptor family 9 subfamily G member 1	
OR9G4	olfactory receptor family 9 subfamily G member 4	
OR9G9	olfactory receptor family 9 subfamily G member 9	
OR9I1	olfactory receptor family 9 subfamily I member 1	
OR9K2	olfactory receptor family 9 subfamily K member 2	
OR9Q1	olfactory receptor family 9 subfamily Q member 1	
OR9Q2	olfactory receptor family 9 subfamily Q member 2	
OR10A2	olfactory receptor family 10 subfamily A member 2	OST363
OR10A3	olfactory receptor family 10 subfamily A member 3	HTPCRX12, HSHTPCRX12
OR10A4	olfactory receptor family 10 subfamily A member 4	
OR10A5	olfactory receptor family 10 subfamily A member 5	OR11-403, JCG6
OR10A6	olfactory receptor family 10 subfamily A member 6 (gene/pseudogene)	
OR10A7	olfactory receptor family 10 subfamily A member 7	
OR10AC1	olfactory receptor family 10 subfamily AC member 1 (gene/pseudogene)	
OR10AD1	olfactory receptor family 10 subfamily AD member 1	
OR10AG1	olfactory receptor family 10 subfamily AG member 1	
OR10C1	olfactory receptor family 10 subfamily C member 1 (gene/pseudogene)	hs6M1-17, OR10C1P
OR10D3	olfactory receptor family 10 subfamily D member 3 (putative)	HTPCRX09
OR10G2	olfactory receptor family 10 subfamily G member 2	
OR10G3	olfactory receptor family 10 subfamily G member 3	
OR10G4	olfactory receptor family 10 subfamily G member 4	
OR10G6	olfactory receptor family 10 subfamily G member 6	OR10G6Q
OR10G7	olfactory receptor family 10 subfamily G member 7	
OR10G8	olfactory receptor family 10 subfamily G member 8	
OR10G9	olfactory receptor family 10 subfamily G member 9	
OR10H1	olfactory receptor family 10 subfamily H member 1	
OR10H2	olfactory receptor family 10 subfamily H member 2	
OR10H3	olfactory receptor family 10 subfamily H member 3	
OR10H4	olfactory receptor family 10 subfamily H member 4	
OR10H5	olfactory receptor family 10 subfamily H member 5	
OR10J1	olfactory receptor family 10 subfamily J member 1	HGMP07J, HSHGMP07J
OR10J3	olfactory receptor family 10 subfamily J member 3	
OR10J4	olfactory receptor family 10 subfamily J member 4 (gene/pseudogene)	OST717
OR10J5	olfactory receptor family 10 subfamily J member 5	
OR10K1	olfactory receptor family 10 subfamily K member 1	
OR10K2	olfactory receptor family 10 subfamily K member 2	
OR10P1	olfactory receptor family 10 subfamily P member 1	OST701
OR10Q1	olfactory receptor family 10 subfamily Q member 1	
OR10R2	olfactory receptor family 10 subfamily R member 2	OR10R2Q
OR10S1	olfactory receptor family 10 subfamily S member 1	
OR10T2	olfactory receptor family 10 subfamily T member 2	
OR10V1	olfactory receptor family 10 subfamily V member 1	
OR10W1	olfactory receptor family 10 subfamily W member 1	
OR10X1	olfactory receptor family 10 subfamily X member 1 (gene/pseudogene)	
OR10Z1	olfactory receptor family 10 subfamily Z member 1	
OR11A1	olfactory receptor family 11 subfamily A member 1	hs6M1-18
OR11G2	olfactory receptor family 11 subfamily G member 2	
OR11H1	olfactory receptor family 11 subfamily H member 1	OR22-1
OR11H2	olfactory receptor family 11 subfamily H member 2	
OR11H4	olfactory receptor family 11 subfamily H member 4	
OR11H6	olfactory receptor family 11 subfamily H member 6	
OR11H7	olfactory receptor family 11 subfamily H member 7 (gene/pseudogene)	
OR11H12	olfactory receptor family 11 subfamily H member 12	
OR11L1	olfactory receptor family 11 subfamily L member 1	
OR12D1	olfactory receptor family 12 subfamily D member 1 (gene/pseudogene)	hs6M1-19
OR12D2	olfactory receptor family 12 subfamily D member 2 (gene/pseudogene)	hs6M1-20
OR12D3	olfactory receptor family 12 subfamily D member 3	hs6M1-27
OR13A1	olfactory receptor family 13 subfamily A member 1	
OR13C2	olfactory receptor family 13 subfamily C member 2	
OR13C3	olfactory receptor family 13 subfamily C member 3	
OR13C4	olfactory receptor family 13 subfamily C member 4	
OR13C5	olfactory receptor family 13 subfamily C member 5	
OR13C7	olfactory receptor family 13 subfamily C member 7 (gene/pseudogene)	OST706
OR13C8	olfactory receptor family 13 subfamily C member 8	
OR13C9	olfactory receptor family 13 subfamily C member 9	
OR13D1	olfactory receptor family 13 subfamily D member 1	
OR13F1	olfactory receptor family 13 subfamily F member 1	
OR13G1	olfactory receptor family 13 subfamily G member 1	
OR13H1	olfactory receptor family 13 subfamily H member 1	
OR13J1	olfactory receptor family 13 subfamily J member 1	
OR14A2	olfactory receptor family 14 subfamily A member 2	
OR14A16	olfactory receptor family 14 subfamily A member 16	
OR14C36	olfactory receptor family 14 subfamily C member 36	
OR14I1	olfactory receptor family 14 subfamily I member 1	
OR14J1	olfactory receptor family 14 subfamily J member 1	hs6M1-28
OR14K1	olfactory receptor family 14 subfamily K member 1	
OR51A2	olfactory receptor family 51 subfamily A member 2	
OR51A4	olfactory receptor family 51 subfamily A member 4	
OR51A7	olfactory receptor family 51 subfamily A member 7	
OR51B2	olfactory receptor family 51 subfamily B member 2 (gene/pseudogene)	
OR51B4	olfactory receptor family 51 subfamily B member 4	
OR51B5	olfactory receptor family 51 subfamily B member 5	
OR51B6	olfactory receptor family 51 subfamily B member 6	
OR51D1	olfactory receptor family 51 subfamily D member 1	OR51D1Q
OR51E1	olfactory receptor family 51 subfamily E member 1	GPR136
OR51E2	olfactory receptor family 51 subfamily E member 2	PSGR
OR51F1	olfactory receptor family 51 subfamily F member 1 (gene/pseudogene)	
OR51F2	olfactory receptor family 51 subfamily F member 2	
OR51G1	olfactory receptor family 51 subfamily G member 1 (gene/pseudogene)	
OR51G2	olfactory receptor family 51 subfamily G member 2	
OR51H1	olfactory receptor family 51 subfamily H member 1	
OR51I1	olfactory receptor family 51 subfamily I member 1	
OR51I2	olfactory receptor family 51 subfamily I member 2	
OR51J1	olfactory receptor family 51 subfamily J member 1 (gene/pseudogene)	
OR51L1	olfactory receptor family 51 subfamily L member 1	
OR51M1	olfactory receptor family 51 subfamily M member 1	
OR51Q1	olfactory receptor family 51 subfamily Q member 1 (gene/pseudogene)	
OR51S1	olfactory receptor family 51 subfamily S member 1	
OR51T1	olfactory receptor family 51 subfamily T member 1	
OR51V1	olfactory receptor family 51 subfamily V member 1	
OR52A1	olfactory receptor family 52 subfamily A member 1	HPFH1OR
OR52A5	olfactory receptor family 52 subfamily A member 5	
OR52B2	olfactory receptor family 52 subfamily B member 2	
OR52B4	olfactory receptor family 52 subfamily B member 4 (gene/pseudogene)	
OR52B6	olfactory receptor family 52 subfamily B member 6	
OR52D1	olfactory receptor family 52 subfamily D member 1 (gene/pseudogene)	
OR52E1	olfactory receptor family 52 subfamily E member 1 (gene/pseudogene)	
OR52E2	olfactory receptor family 52 subfamily E member 2	
OR52E4	olfactory receptor family 52 subfamily E member 4	
OR52E5	olfactory receptor family 52 subfamily E member 5	
OR52E6	olfactory receptor family 52 subfamily E member 6	
OR52E8	olfactory receptor family 52 subfamily E member 8	
OR52H1	olfactory receptor family 52 subfamily H member 1 (gene/pseudogene)	
OR52I1	olfactory receptor family 52 subfamily I member 1	
OR52I2	olfactory receptor family 52 subfamily I member 2	
OR52J3	olfactory receptor family 52 subfamily J member 3	
OR52K1	olfactory receptor family 52 subfamily K member 1	
OR52K2	olfactory receptor family 52 subfamily K member 2	
OR52L1	olfactory receptor family 52 subfamily L member 1 (gene/pseudogene)	
OR52M1	olfactory receptor family 52 subfamily M member 1	
OR52N1	olfactory receptor family 52 subfamily N member 1	
OR52N2	olfactory receptor family 52 subfamily N member 2	
OR52N4	olfactory receptor family 52 subfamily N member 4 (gene/pseudogene)	
OR52N5	olfactory receptor family 52 subfamily N member 5	OR52N5Q
OR52R1	olfactory receptor family 52 subfamily R member 1 (gene/pseudogene)	
OR52W1	olfactory receptor family 52 subfamily W member 1	
OR52Z1	olfactory receptor family 52 subfamily Z member 1 (gene/pseudogene)	
OR56A1	olfactory receptor family 56 subfamily A member 1	
